2023,2023-04-15,America MG,Fluminense,0,3,A,3,11,1,12,8,0,8,3,2,5,0,0,0
2023,2023-04-15,Palmeiras,Cuiaba,2,1,H,3,4,4,8,1,1,2,2,6,8,1,1,2
2023,2023-04-15,Athletico-PR,Goias,2,0,H,2,3,8,11,3,5,8,2,3,5,1,0,1
2023,2023-04-15,Botafogo RJ,Sao Paulo,2,1,H,3,3,7,10,1,2,3,3,2,5,1,1,2
2023,2023-04-15,Bragantino,Bahia,2,1,H,3,4,7,11,2,0,2,1,1,2,0,1,1
2023,2023-04-15,Fortaleza,Internacional,1,1,D,2,5,1,6,2,0,2,2,1,3,0,0,0
2023,2023-06-11,America MG,Athletico-PR,2,2,D,4,7,3,10,6,2,8,2,4,6,0,1,1
2023,2023-06-11,Flamengo RJ,Gremio,3,0,H,3,3,7,10,1,1,2,0,3,3,1,0,1
2023,2023-06-11,Internacional,Vasco,2,1,H,3,7,6,13,1,3,4,2,3,5,2,1,3
2023,2023-06-11,Sao Paulo,Palmeiras,0,2,A,2,8,3,11,2,0,2,5,1,6,0,1,1
2023,2023-06-11,Goias,Fluminense,2,2,D,4,6,7,13,0,6,6,3,3,6,1,1,2
2023,2023-06-22,Fluminense,Atletico-MG,1,1,D,2,3,5,8,0,2,2,2,4,6,1,1,2
2023,2023-06-22,Bahia,Palmeiras,1,0,H,1,6,8,14,2,4,6,4,3,7,0,0,0
2023,2023-06-22,Santos,Corinthians,0,2,A,2,5,2,7,2,0,2,2,4,6,0,2,2
2023,2023-06-21,Sao Paulo,Athletico-PR,2,1,H,3,4,4,8,4,2,6,3,2,5,1,1,2
2023,2023-06-21,Cruzeiro,Fortaleza,0,1,A,1,5,2,7,2,1,3,4,4,8,0,0,0
2023,2023-06-23,Vasco,Goias,0,1,A,1,8,2,10,5,0,5,2,3,5,0,0,0
2023,2023-06-22,Gremio,America MG,3,1,H,4,10,2,12,6,1,7,0,4,4,1,1,2
2023,2023-06-23,Bragantino,Flamengo RJ,4,0,H,4,17,2,19,11,1,12,0,0,0,1,0,1
2023,2023-06-23,Coritiba,Internacional,0,1,A,1,10,5,15,7,2,9,2,4,6,0,0,0
2023,2023-06-23,Cuiaba,Botafogo RJ,0,1,A,1,6,2,8,3,0,3,2,2,4,0,0,0
2023,2023-06-24,Athletico-PR,Corinthians,1,0,H,1,5,5,10,4,2,6,5,2,7,1,0,1
2023,2023-06-24,Fluminense,Bahia,2,1,H,3,9,10,19,8,2,10,2,0,2,0,1,1
2023,2023-06-24,Fortaleza,Atletico-MG,2,1,H,3,3,8,11,2,3,5,1,1,2,0,0,0
2023,2023-06-25,Cruzeiro,Sao Paulo,1,0,H,1,6,5,11,3,3,6,1,3,4,1,0,1
2023,2023-06-25,Santos,Flamengo RJ,2,3,A,5,2,7,9,1,6,7,2,1,3,1,1,2
2023,2023-06-25,Gremio,Coritiba,5,1,H,6,8,5,13,4,3,7,2,5,7,1,1,2
2023,2023-06-25,Palmeiras,Botafogo RJ,0,1,A,1,12,1,13,6,2,8,0,3,3,0,1,1
2023,2023-06-25,America MG,Internacional,1,2,A,3,3,2,5,1,2,3,2,1,3,1,0,1
2023,2023-06-25,Bragantino,Goias,2,0,H,2,10,4,14,6,2,8,2,2,4,2,0,2
2023,2023-06-27,Vasco,Cuiaba,1,0,H,1,4,6,10,1,2,3,5,3,8,0,0,0
2023,2023-07-01,Sao Paulo,Fluminense,1,0,H,1,12,2,14,2,0,2,2,3,5,0,0,0
2023,2023-07-01,Bahia,Gremio,1,2,A,3,7,2,9,4,0,4,3,2,5,1,1,2
2023,2023-07-01,Flamengo RJ,Fortaleza,2,0,H,2,5,4,9,1,1,2,2,0,2,1,0,1
2023,2023-07-02,Internacional,Cruzeiro,0,0,D,0,2,4,6,2,1,3,6,5,11,0,0,0
2023,2023-07-02,Corinthians,Bragantino,0,1,A,1,4,2,6,0,1,1,3,2,5,0,1,1
2023,2023-07-02,Athletico-PR,Palmeiras,2,2,D,4,7,2,9,3,1,4,4,3,7,0,1,1
2023,2023-07-02,Atletico-MG,America MG,2,2,D,4,4,7,11,1,5,6,2,1,3,2,0,2
2023,2023-07-02,Botafogo RJ,Vasco,2,0,H,2,4,8,12,3,2,5,1,5,6,0,0,0
2023,2023-07-02,Cuiaba,Santos,3,0,H,3,9,5,14,5,4,9,0,2,2,0,0,0
2023,2023-07-04,Goias,Coritiba,1,2,A,3,7,2,9,4,2,6,5,8,13,0,2,2
